id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
10497,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1319,3221,-13322,-182,57,357,0,NULL,NULL,1677128575851,01370022,"2023-02-23,13:02:56",90
10498,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,648,3189,-14917,99,-242,158,0,NULL,NULL,1677128575986,01370022,"2023-02-23,13:02:56",90
10499,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1120,3354,-15731,67,-120,4,0,NULL,NULL,1677128576121,01370022,"2023-02-23,13:02:56",90
10500,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2730,4240,-15179,151,-41,-247,0,NULL,NULL,1677128576244,01370022,"2023-02-23,13:02:56",90
10501,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2466,2316,-17157,120,36,-330,0,NULL,NULL,1677128576378,01370022,"2023-02-23,13:02:56",90
10502,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2289,1385,-18351,9,-166,-589,0,NULL,NULL,1677128576522,01370022,"2023-02-23,13:02:56",90
10503,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,906,-32,-14055,174,-1,-386,0,NULL,NULL,1677128576653,01370022,"2023-02-23,13:02:57",90
10504,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,876,1442,-15202,3,-96,-571,0,NULL,NULL,1677128576794,01370022,"2023-02-23,13:02:57",90
10505,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2607,1957,-13981,-31,45,-333,0,NULL,NULL,1677128576913,01370022,"2023-02-23,13:02:57",90
10506,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1283,-5,-17939,-96,-42,-153,0,NULL,NULL,1677128577037,01370022,"2023-02-23,13:02:57",90
10507,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-676,1952,-19254,-284,119,-740,0,NULL,NULL,1677128577163,01370022,"2023-02-23,13:02:57",90
10508,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,919,563,-11608,-73,442,-848,0,NULL,NULL,1677128577279,01370022,"2023-02-23,13:02:57",90
10509,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1886,474,-16973,54,-68,-759,0,NULL,NULL,1677128577422,01370022,"2023-02-23,13:02:57",90
10510,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1083,2539,-13648,36,26,-1081,0,NULL,NULL,1677128577545,01370022,"2023-02-23,13:02:57",90
10511,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2206,3368,-14926,-36,144,-980,0,NULL,NULL,1677128577664,01370022,"2023-02-23,13:02:58",90
10512,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1282,3022,-19000,173,-37,-809,0,NULL,NULL,1677128577797,01370022,"2023-02-23,13:02:58",90
10513,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-3702,2219,-17991,177,-75,-717,0,NULL,NULL,1677128577938,01370022,"2023-02-23,13:02:58",90
10514,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1054,-338,-14609,-32,64,-881,0,NULL,NULL,1677128578065,01370022,"2023-02-23,13:02:58",90
10515,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,853,2182,-14503,-95,30,-907,0,NULL,NULL,1677128578199,01370022,"2023-02-23,13:02:58",90
10516,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1610,2157,-14572,-70,158,-501,1,NULL,NULL,1677128578341,01370022,"2023-02-23,13:02:58",90
10517,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1823,3181,-17620,-168,3,-347,0,NULL,NULL,1677128578481,01370022,"2023-02-23,13:02:58",90
10518,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2168,2498,-20074,-315,53,-233,0,NULL,NULL,1677128578607,01370022,"2023-02-23,13:02:59",90
10519,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-459,3686,-12490,-117,579,-530,0,NULL,NULL,1677128578739,01370022,"2023-02-23,13:02:59",90
10520,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2161,2428,-17230,5,-36,-277,0,NULL,NULL,1677128578871,01370022,"2023-02-23,13:02:59",90
10521,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1079,3140,-13712,113,128,-478,0,NULL,NULL,1677128578989,01370022,"2023-02-23,13:02:59",90
10522,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1702,4810,-15491,108,23,-493,0,NULL,NULL,1677128579103,01370022,"2023-02-23,13:02:59",90
10523,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1545,1928,-17979,108,56,-296,0,NULL,NULL,1677128579222,01370022,"2023-02-23,13:02:59",90
10524,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,192,-1023,-14656,-34,379,-543,0,NULL,NULL,1677128579361,01370022,"2023-02-23,13:02:59",90
10525,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-226,1994,-14619,-66,31,-802,0,NULL,NULL,1677128579504,01370022,"2023-02-23,13:02:59",90
10526,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1208,1934,-14614,-42,-11,-481,0,NULL,NULL,1677128579641,01370022,"2023-02-23,13:03:00",90
10527,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2353,1757,-15559,-95,88,-397,0,NULL,NULL,1677128579753,01370022,"2023-02-23,13:03:00",90
10528,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2351,2940,-16688,-228,24,-457,0,NULL,NULL,1677128579876,01370022,"2023-02-23,13:03:00",90
